Id;name
1033;243 (Directed) 21
1034;246 (Directed) 247
1035;246 (Directed) 248
1036;246 (Directed) 249
1037;246 (Directed) 250
1038;246 (Directed) 251
1039;246 (Directed) 252
1040;246 (Directed) 253
1041;246 (Directed) 254
1042;247 (Directed) 254
1043;247 (Directed) 253
1044;247 (Directed) 252
1045;247 (Directed) 251
1046;247 (Directed) 250
1047;247 (Directed) 249
1048;247 (Directed) 248
1049;247 (Directed) 246
1050;248 (Directed) 246
1051;248 (Directed) 247
1052;248 (Directed) 249
1053;248 (Directed) 250
1054;248 (Directed) 251
1055;248 (Directed) 252
1056;248 (Directed) 253
1057;248 (Directed) 254
1058;249 (Directed) 254
1059;249 (Directed) 253
1060;249 (Directed) 252
1061;249 (Directed) 251
1062;249 (Directed) 250
1064;249 (Directed) 248
1065;249 (Directed) 247
1066;249 (Directed) 246
1067;250 (Directed) 246
1068;250 (Directed) 247
1069;250 (Directed) 248
1070;250 (Directed) 249
1071;250 (Directed) 251
1072;250 (Directed) 252
1073;250 (Directed) 253
1074;250 (Directed) 254
1075;251 (Directed) 254
1076;251 (Directed) 253
1077;251 (Directed) 252
1078;251 (Directed) 250
1079;251 (Directed) 249
1080;251 (Directed) 248
1081;251 (Directed) 247
1082;251 (Directed) 246
1083;252 (Directed) 246
1084;252 (Directed) 247
1085;252 (Directed) 248
1086;252 (Directed) 249
1087;252 (Directed) 250
1088;252 (Directed) 251
1089;252 (Directed) 253
1090;252 (Directed) 254
1091;253 (Directed) 254
1092;253 (Directed) 252
1093;253 (Directed) 251
1094;253 (Directed) 250
1095;253 (Directed) 249
1096;253 (Directed) 248
1097;253 (Directed) 247
1098;253 (Directed) 246
1099;254 (Directed) 246
1100;254 (Directed) 247
1101;254 (Directed) 248
1102;254 (Directed) 249
1103;254 (Directed) 250
1104;254 (Directed) 251
1105;254 (Directed) 252
1106;254 (Directed) 253
1107;254 (Directed) 255
1108;255 (Directed) 256
1109;256 (Directed) 257
1110;199 (Directed) 260
1111;257 (Directed) 258
1112;258 (Directed) 259
1113;258 (Directed) 260
1114;258 (Directed) 261
1115;258 (Directed) 262
1116;258 (Directed) 263
1117;259 (Directed) 263
1118;259 (Directed) 262
1119;259 (Directed) 261
1120;259 (Directed) 260
1121;259 (Directed) 258
1122;260 (Directed) 258
1123;260 (Directed) 259
1124;260 (Directed) 261
1125;260 (Directed) 262
1126;260 (Directed) 263
1127;261 (Directed) 263
1128;261 (Directed) 262
1129;261 (Directed) 260
1130;261 (Directed) 259
1131;261 (Directed) 258
1132;262 (Directed) 258
1133;262 (Directed) 259
1134;262 (Directed) 260
1135;262 (Directed) 261
1136;262 (Directed) 263
1137;258 (Directed) 265
1138;265 (Directed) 266
1139;266 (Directed) 263
1140;266 (Directed) 262
1141;266 (Directed) 261
1142;266 (Directed) 260
1143;266 (Directed) 259
1144;266 (Directed) 258
1145;203 (Directed) 267
1146;266 (Directed) 267
1147;267 (Directed) 201
1148;267 (Directed) 202
1149;267 (Directed) 203
1150;267 (Directed) 204
1151;267 (Directed) 205
1152;267 (Directed) 161
1153;267 (Directed) 199
1154;267 (Directed) 268
1155;267 (Directed) 269
1156;269 (Directed) 270
1157;269 (Directed) 271
1158;269 (Directed) 272
1159;270 (Directed) 272
1160;270 (Directed) 271
1161;270 (Directed) 269
1162;270 (Directed) 199
1163;270 (Directed) 260
1164;271 (Directed) 269
1165;271 (Directed) 270
1166;271 (Directed) 272
1167;271 (Directed) 268
1168;272 (Directed) 273
1169;269 (Directed) 62
